,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marystown,CA,47.1666,-55.1483,51.73,57,93,11.88,overcast clouds
1,Balakliya,UA,49.4627,36.8595,57.0,68,97,6.87,overcast clouds
2,Makakilo City,US,21.3469,-158.0858,74.19,77,100,0.0,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,43.21,98,100,3.69,light rain
4,Tari,NG,12.4086,4.4914,104.99,20,55,4.68,broken clouds
5,Avarua,CK,-21.2078,-159.775,80.65,94,75,5.75,broken clouds
6,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,4.61,scattered clouds
7,Coleraine,GB,55.1333,-6.6667,58.91,75,100,15.39,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,59.18,88,13,3.0,few clouds
9,Atuona,PF,-9.8,-139.0333,78.3,66,60,21.3,broken clouds
10,Bluff,NZ,-46.6,168.3333,52.81,90,100,13.69,moderate rain
11,Vaini,TO,-21.2,-175.2,75.11,59,100,23.04,overcast clouds
12,Kapaa,US,22.0752,-159.319,74.48,86,52,5.01,light rain
13,Barrow,US,71.2906,-156.7887,15.82,79,100,10.36,overcast clouds
14,Hilo,US,19.7297,-155.09,75.27,82,64,3.0,broken clouds
15,Broome,US,42.2506,-75.833,78.19,64,55,4.0,broken clouds
16,Alugan,PH,12.2188,125.4808,79.79,86,93,10.27,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,77.61,74,53,21.5,broken clouds
18,Huilong,CN,31.8111,121.655,58.93,78,39,7.81,scattered clouds
19,Hermanus,ZA,-34.4187,19.2345,57.79,73,58,10.71,broken clouds
20,Busselton,AU,-33.65,115.3333,59.45,69,86,14.07,overcast clouds
21,Pochutla,MX,15.7432,-96.4661,90.82,40,64,8.75,broken clouds
22,Deputatskiy,RU,69.3,139.9,13.35,95,100,2.77,light snow
23,Stoughton,US,42.1251,-71.1023,83.68,70,75,8.05,broken clouds
24,New Norfolk,AU,-42.7826,147.0587,55.92,84,86,2.17,light rain
25,Tuatapere,NZ,-46.1333,167.6833,51.15,95,100,6.6,light rain
26,Saurimo,AO,-9.6608,20.3916,75.79,45,54,3.02,broken clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,66,5.01,broken clouds
28,Mandalgovi,MN,45.7625,106.2708,42.57,34,12,7.4,few clouds
29,Khatanga,RU,71.9667,102.5,14.63,94,100,4.94,overcast clouds
30,Saskylakh,RU,71.9167,114.0833,10.33,97,95,7.85,overcast clouds
31,Lebu,CL,-37.6167,-73.65,53.91,59,29,15.7,scattered clouds
32,Acolla,PE,-11.7319,-75.5463,57.76,49,65,2.46,broken clouds
33,San Patricio,US,28.017,-97.5169,90.07,41,4,13.85,clear sky
34,Carnarvon,AU,-24.8667,113.6333,67.82,58,5,20.56,clear sky
35,Qaanaaq,GL,77.484,-69.3632,19.36,70,15,1.81,few clouds
36,Anloga,GH,5.7947,0.8973,84.67,74,43,15.43,scattered clouds
37,Mananjary,MG,-21.2167,48.3333,72.3,73,80,3.78,broken clouds
38,Bredasdorp,ZA,-34.5322,20.0403,58.66,63,56,12.71,broken clouds
39,Talnakh,RU,69.4865,88.3972,36.07,100,100,7.05,light rain
40,Kysyl-Syr,RU,63.8986,122.7617,28.08,86,95,11.95,light snow
41,Mar Del Plata,AR,-38.0023,-57.5575,59.95,78,100,11.01,moderate rain
42,Port Elizabeth,ZA,-33.918,25.5701,64.09,75,17,13.0,few clouds
43,Kidal,ML,18.4411,1.4078,105.1,4,8,4.32,clear sky
44,Jamestown,US,42.097,-79.2353,77.95,55,81,5.01,broken clouds
45,Limoux,FR,42.9167,2.1667,77.5,70,76,5.68,broken clouds
46,Kjopsvik,NO,68.097,16.3742,44.47,79,98,4.72,overcast clouds
47,Surt,LY,31.2089,16.5887,67.42,60,3,10.09,clear sky
48,Hithadhoo,MV,-0.6,73.0833,83.01,70,36,5.99,scattered clouds
49,Anadyr,RU,64.75,177.4833,30.27,94,93,6.49,overcast clouds
50,Faanui,PF,-16.4833,-151.75,81.21,71,18,16.98,light rain
51,Ilulissat,GL,69.2167,-51.1,24.82,74,75,13.8,light shower snow
52,Margate,GB,51.3813,1.3862,64.87,62,73,1.99,broken clouds
53,Cascais,PT,38.6979,-9.4215,85.35,34,0,9.22,clear sky
54,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,65,40,8.05,scattered clouds
55,Chuy,UY,-33.6971,-53.4616,64.99,54,30,5.01,scattered clouds
56,Kaitangata,NZ,-46.2817,169.8464,52.41,71,100,8.75,moderate rain
57,Beringovskiy,RU,63.05,179.3167,33.28,86,100,4.54,overcast clouds
58,Upernavik,GL,72.7868,-56.1549,19.04,80,31,4.54,scattered clouds
59,Ferrol,ES,43.4832,-8.2369,74.35,80,54,6.51,broken clouds
60,Roma,US,43.2128,-75.4557,80.96,57,48,1.99,scattered clouds
61,Rio Gallegos,AR,-51.6226,-69.2181,47.77,56,58,18.48,broken clouds
62,Priargunsk,RU,50.3691,119.1012,39.18,65,79,9.53,broken clouds
63,Mataura,NZ,-46.1927,168.8643,52.48,96,100,3.65,moderate rain
64,Boueni,YT,-12.9025,45.0761,80.58,68,18,5.86,few clouds
65,Saint George,US,37.1041,-113.5841,71.44,19,0,1.99,clear sky
66,Cabo San Lucas,MX,22.8909,-109.9124,86.61,67,6,1.01,clear sky
67,Butaritari,KI,3.0707,172.7902,80.58,75,100,10.49,overcast clouds
68,Flinders,AU,-34.5833,150.8552,64.18,93,63,4.0,broken clouds
69,Port Lincoln,AU,-34.7333,135.8667,64.4,84,100,20.65,overcast clouds
70,Isangel,VU,-19.55,169.2667,73.67,65,100,14.18,overcast clouds
71,Sampit,ID,-2.5333,112.95,74.98,97,83,1.23,broken clouds
72,Castro,BR,-24.7911,-50.0119,71.33,49,5,1.9,clear sky
73,Mortka,RU,59.3322,66.0214,57.92,54,100,9.48,overcast clouds
74,Bokovskaya,RU,49.229,41.8306,57.88,66,86,8.93,overcast clouds
75,Tasiilaq,GL,65.6145,-37.6368,33.96,50,31,1.19,scattered clouds
76,Provideniya,RU,64.3833,-173.3,33.66,71,6,3.67,clear sky
77,Buala,SB,-8.145,159.5921,79.0,81,17,2.06,few clouds
78,Punta Arenas,CL,-53.15,-70.9167,41.11,93,22,4.94,few clouds
79,Cape Town,ZA,-33.9258,18.4232,60.35,82,67,3.0,broken clouds
80,Manaure,CO,11.7751,-72.4445,88.0,59,99,23.33,overcast clouds
81,Blagoyevo,RU,63.3667,47.9167,51.53,72,76,7.29,broken clouds
82,Marawi,PH,7.9986,124.2928,70.86,90,100,2.68,heavy intensity rain
83,Aklavik,CA,68.2191,-135.0107,34.52,85,100,16.78,overcast clouds
84,Kiruna,SE,67.8557,20.2251,47.32,46,90,4.61,overcast clouds
85,Chicama,PE,-7.8447,-79.1469,64.94,64,60,6.96,broken clouds
86,Gornyy,RU,55.1153,83.9059,57.72,35,4,3.13,clear sky
87,Severo-Kurilsk,RU,50.6789,156.125,38.46,97,100,13.22,overcast clouds
88,Hobart,AU,-42.8794,147.3294,55.06,90,100,4.61,overcast clouds
89,Thompson,CA,55.7435,-97.8558,42.96,69,100,16.44,overcast clouds
90,Amarante Do Maranhao,BR,-5.5667,-46.7422,85.17,62,42,7.7,light rain
91,Geraldton,AU,-28.7667,114.6,59.41,88,100,5.75,overcast clouds
92,Nosy Varika,MG,-20.5833,48.5333,71.69,77,68,3.06,broken clouds
93,Paamiut,GL,61.994,-49.6678,30.9,64,100,20.2,overcast clouds
94,Panalingaan,PH,8.7842,117.4231,79.3,84,98,2.1,overcast clouds
95,Albany,US,42.6001,-73.9662,81.03,58,41,3.0,scattered clouds
96,Barcelona,ES,41.3888,2.159,80.8,66,0,9.22,clear sky
97,Airai,TL,-8.9266,125.4092,61.0,95,70,1.23,broken clouds
98,Novomalorossiyskaya,RU,45.6348,39.8948,54.86,73,3,8.59,clear sky
99,Mitsamiouli,KM,-11.3847,43.2844,79.97,70,9,7.14,clear sky
100,Caravelas,BR,-17.7125,-39.2481,81.1,64,36,8.86,scattered clouds
101,Kavieng,PG,-2.5744,150.7967,81.23,78,58,8.79,broken clouds
102,Visavadar,IN,21.3833,70.6833,83.61,74,1,13.8,clear sky
103,Angoche,MZ,-16.2325,39.9086,73.83,78,11,7.2,few clouds
104,Moron,AR,-34.6534,-58.6198,68.02,61,87,4.14,light rain
105,Fare,PF,-16.7,-151.0167,80.6,72,5,14.34,light rain
106,Rocha,UY,-34.4833,-54.3333,64.87,50,44,6.49,scattered clouds
107,Buchanan,LR,5.8808,-10.0467,82.36,75,72,8.43,broken clouds
108,Yaan,NG,7.3833,8.5667,93.38,46,28,3.11,scattered clouds
109,La Reforma,MX,25.0833,-108.05,85.89,45,9,13.6,clear sky
110,Hamilton,US,39.1834,-84.5333,81.95,53,72,3.0,broken clouds
111,Mizan Teferi,ET,6.9833,35.5833,65.32,90,80,2.28,light rain
112,Jumla,NP,29.2747,82.1838,58.75,81,79,0.94,broken clouds
113,Sangar,RU,63.9242,127.4739,25.36,83,10,11.25,clear sky
114,Codrington,AU,-38.2667,141.9667,62.65,72,100,14.47,light rain
115,Pacific Grove,US,36.6177,-121.9166,69.48,64,0,4.0,clear sky
116,Pevek,RU,69.7008,170.3133,23.34,78,2,15.43,clear sky
117,Bilibino,RU,68.0546,166.4372,17.46,91,69,3.42,broken clouds
118,Lishui,CN,28.4604,119.9103,62.38,96,100,3.2,light rain
119,Mitu,CO,1.1983,-70.1733,87.91,60,64,2.21,broken clouds
120,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,42,20,12.66,few clouds
121,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,44,12,20.71,few clouds
122,Berck,FR,50.4,1.6,62.51,72,54,12.66,broken clouds
123,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,75.6,45,97,5.3,overcast clouds
124,Te Anau,NZ,-45.4167,167.7167,50.99,96,100,3.09,overcast clouds
125,Luderitz,NA,-26.6481,15.1594,58.95,68,99,16.2,overcast clouds
126,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.46,69,73,10.47,broken clouds
127,Georgetown,MY,5.4112,100.3354,84.13,79,20,0.0,few clouds
128,Longyearbyen,SJ,78.2186,15.6401,21.04,63,0,13.8,clear sky
129,Dikson,RU,73.5069,80.5464,32.88,98,100,10.56,overcast clouds
130,Raudeberg,NO,61.9875,5.1352,43.47,94,100,15.7,light rain
131,Narsaq,GL,60.9167,-46.05,41.22,88,96,7.81,overcast clouds
132,Alice Springs,AU,-23.7,133.8833,53.15,54,13,0.0,few clouds
133,Lorengau,PG,-2.0226,147.2712,81.01,73,39,8.88,scattered clouds
134,Mecca,SA,21.4267,39.8261,91.98,35,0,3.78,clear sky
135,Szczecinek,PL,53.7079,16.6994,54.34,81,90,10.02,overcast clouds
136,Helong,CN,42.5397,128.9972,43.02,92,94,3.87,overcast clouds
137,Victoria,HK,22.2855,114.1577,77.95,96,95,1.99,light rain
138,San Jeronimo,PE,-11.9472,-75.2829,59.4,50,34,2.35,scattered clouds
139,Fairbanks,US,64.8378,-147.7164,39.09,91,75,3.44,broken clouds
140,Mandiana,GN,10.6333,-8.6833,102.07,22,65,8.41,broken clouds
141,Mnogovershinnyy,RU,53.9353,139.9242,32.02,94,64,2.48,broken clouds
142,Iqaluit,CA,63.7506,-68.5145,22.69,73,51,10.0,broken clouds
143,Aksu,CN,41.1231,80.2644,62.06,51,100,8.1,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,13.8,light rain
145,Ippy,CF,6.2679,21.2247,82.13,61,67,4.54,broken clouds
146,Yellowknife,CA,62.456,-114.3525,50.56,54,32,11.99,scattered clouds
147,Walvis Bay,NA,-22.9575,14.5053,56.08,71,5,15.3,clear sky
148,North Bend,US,43.4065,-124.2243,50.16,96,100,8.05,overcast clouds
149,Veraval,IN,20.9,70.3667,84.16,77,1,16.96,clear sky
150,East London,ZA,-33.0153,27.9116,64.56,72,1,8.46,clear sky
151,Batagay,RU,67.6333,134.6333,23.16,76,100,5.82,overcast clouds
152,Lavrentiya,RU,65.5833,-171.0,19.54,80,8,3.51,clear sky
153,Adrar,MR,20.5022,-10.0711,104.79,6,46,10.02,scattered clouds
154,Ketchikan,US,55.3422,-131.6461,45.03,76,100,6.58,light rain
155,Dicabisagan,PH,17.0818,122.4157,80.11,87,91,9.1,overcast clouds
156,Panorama,GR,40.5878,23.0315,71.13,50,40,11.5,scattered clouds
157,Bethel,US,41.3712,-73.414,80.35,77,100,0.0,overcast clouds
158,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,3,5.23,clear sky
159,Grand Gaube,MU,-20.0064,57.6608,73.8,75,31,3.0,scattered clouds
160,Rio Branco Do Sul,BR,-25.19,-49.3142,74.34,60,29,2.53,scattered clouds
161,Saint-Francois,FR,46.4154,3.9054,71.04,56,0,8.05,clear sky
162,Sakakah,SA,29.9697,40.2064,85.35,15,0,8.9,clear sky
163,Ixtapa,MX,20.7,-105.2,92.68,34,59,7.07,broken clouds
164,Joshimath,IN,30.5667,79.5667,64.83,80,96,4.99,overcast clouds
165,Tautira,PF,-17.7333,-149.15,80.02,76,31,17.63,light rain
166,Batemans Bay,AU,-35.7167,150.1833,62.1,96,48,3.31,scattered clouds
167,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.42,75,20,8.05,few clouds
168,Stokmarknes,NO,68.5646,14.9108,42.78,87,75,11.5,broken clouds
169,Hobyo,SO,5.3505,48.5268,82.35,82,87,26.33,overcast clouds
170,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,79,99,6.51,light rain
171,Morant Bay,JM,17.8815,-76.4093,82.71,82,100,13.78,overcast clouds
172,Praia,CV,14.9215,-23.5087,84.74,37,0,25.32,clear sky
173,Duku,NG,11.2361,4.9073,86.38,50,92,13.4,moderate rain
174,San Policarpo,PH,12.1791,125.5072,80.29,85,93,11.25,overcast clouds
175,Sur,OM,22.5667,59.5289,91.49,39,3,6.26,clear sky
176,Kerrville,US,30.0474,-99.1403,80.82,61,0,10.36,clear sky
177,Axim,GH,4.8699,-2.2405,82.6,78,100,7.94,overcast clouds
178,Tiksi,RU,71.6872,128.8694,13.89,90,80,15.26,broken clouds
179,Srednekolymsk,RU,67.45,153.6833,30.58,86,59,4.09,broken clouds
180,Torbay,CA,47.6666,-52.7314,52.88,62,65,8.01,broken clouds
181,Kwakoa,TZ,-3.7667,37.7167,72.59,69,92,4.56,overcast clouds
182,Khasan,RU,42.4308,130.6434,45.93,84,100,3.91,overcast clouds
183,Bazarnyye Mataki,RU,54.8833,49.9333,45.97,89,100,10.85,overcast clouds
184,Yenagoa,NG,4.9247,6.2642,82.45,79,96,6.11,light rain
185,Bure,ET,10.7,37.0667,74.1,37,82,8.14,broken clouds
186,Mahebourg,MU,-20.4081,57.7,73.69,78,40,4.61,scattered clouds
187,Tabas,IR,33.5959,56.9244,73.18,33,0,21.21,clear sky
188,Sept-Iles,CA,50.2001,-66.3821,47.05,86,100,3.0,light rain
189,Luena,AO,-11.7833,19.9167,67.1,55,9,4.83,clear sky
190,Zhangye,CN,38.9342,100.4517,46.45,63,100,5.73,overcast clouds
191,Robertsport,LR,6.7533,-11.3686,84.02,71,87,7.4,overcast clouds
192,Kamenka,RU,51.3223,42.7678,52.97,73,100,11.36,overcast clouds
193,Bay Roberts,CA,47.5999,-53.2648,53.65,51,81,3.51,broken clouds
194,Guerrero Negro,MX,27.9769,-114.0611,73.53,33,50,7.67,scattered clouds
195,Kutum,SD,14.2,24.6667,89.85,9,12,9.01,few clouds
196,Roald,NO,62.5833,6.1333,45.0,81,75,16.11,light rain
197,Tilichiki,RU,60.4667,166.1,32.59,97,100,1.25,overcast clouds
198,Aranos,NA,-24.1333,19.1167,69.73,19,60,7.31,broken clouds
199,Galveston,US,29.3669,-94.9669,89.02,62,40,10.36,scattered clouds
200,Egvekinot,RU,66.3167,-179.1667,17.96,93,22,0.76,few clouds
201,Saint-Pierre,RE,-21.3393,55.4781,69.91,68,0,8.05,clear sky
202,Taxisco,GT,14.0708,-90.4631,93.04,35,5,8.12,clear sky
203,Hervey Bay,AU,-25.2986,152.8535,71.02,97,95,7.0,overcast clouds
204,General Salgado,BR,-20.6483,-50.3606,84.74,36,0,1.81,clear sky
205,Saldanha,ZA,-33.0117,17.9442,59.41,71,85,6.46,overcast clouds
206,Coquimbo,CL,-29.9533,-71.3436,62.91,68,23,5.66,few clouds
207,Udachnyy,RU,66.4167,112.4,21.27,86,36,2.75,scattered clouds
208,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.88,93,100,6.08,overcast clouds
209,Conakry,GN,9.538,-13.6773,82.72,77,64,13.49,broken clouds
210,Doba,TD,8.65,16.85,96.31,29,58,0.45,light rain
211,Pangody,RU,65.85,74.4859,35.56,96,87,6.87,overcast clouds
212,Kalmunai,LK,7.4167,81.8167,83.48,71,100,5.68,overcast clouds
213,Ribeira Grande,PT,38.5167,-28.7,63.0,63,75,4.61,broken clouds
214,Fort Frances,CA,48.5999,-93.4003,70.05,63,28,3.0,scattered clouds
215,Mogzon,RU,51.7435,111.9606,36.91,80,72,3.06,broken clouds
216,Lucapa,AO,-8.4192,20.7447,77.25,48,94,2.3,overcast clouds
217,Vostok,RU,46.4856,135.8833,41.68,81,100,3.78,overcast clouds
218,Irbeyskoye,RU,55.6428,95.4522,52.57,40,22,3.71,few clouds
219,Cidreira,BR,-30.1811,-50.2056,64.89,65,8,5.08,clear sky
220,Gostovici,BA,44.415,18.1583,79.68,84,54,2.42,broken clouds
221,Chokwe,MZ,-24.5333,32.9833,73.13,62,0,7.14,clear sky
222,Verkhnyaya Inta,RU,65.9811,60.3094,49.33,77,66,8.12,broken clouds
223,Bela,IN,25.9333,81.9833,97.72,11,2,6.04,clear sky
224,Barra Do Garcas,BR,-15.89,-52.2567,92.46,34,47,5.99,scattered clouds
225,Karaton,ID,-6.3424,106.1045,76.48,89,85,3.47,overcast clouds
226,Bousso,TD,10.4795,16.7117,94.73,35,28,11.63,light rain
227,Nikolskoye,RU,59.7035,30.7861,55.29,62,77,11.81,broken clouds
228,Kirovskiy,RU,45.0917,133.5136,49.17,82,100,4.61,overcast clouds
229,Pasighat,IN,28.0667,95.3333,71.15,99,100,4.72,overcast clouds
